대분류,중분류,소분류,시도,시군구,자원명,영문명,홈페이지,연락처,팩스,관리기관,상세주소,도로명주소,자원설명,최근수정일,데이터기준일
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산국립공원(금대),,http://chiak.knps.or.kr/,033-732-5231,,국립공원관리공단 치악산사무소,강원도 원주시 소초면 학곡리 900,강원도 원주시 소초면 무쇠점2길 26,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2014-06-18,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산국립공원(부곡),,http://chiak.knps.or.kr/,033-732-5231,,국립공원관리공단 치악산사무소,강원도 원주시 소초면 학곡리 900,강원도 원주시 소초면 무쇠점2길 26,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2014-06-18,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산국립공원(성남),,http://chiak.knps.or.kr/,033-732-5231,,국립공원관리공단 치악산사무소,강원도 원주시 소초면 학곡리 900,강원도 원주시 소초면 무쇠점2길 26,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2014-06-18,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산국립공원(행구동),,http://chiak.knps.or.kr/,033-732-5231,,국립공원관리공단 치악산사무소,강원도 원주시 소초면 학곡리 900-1,강원도 원주시 소초면 무쇠점2길 26,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2014-06-18,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산국립공원(황골),,http://chiak.knps.or.kr/,033-732-5231,,국립공원관리공단 치악산사무소,강원도 원주시 소초면 학곡리 900,강원도 원주시 소초면 무쇠점2길 26,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2014-06-18,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,인제군,설악산국립공원(남교리지킴터),,http://seorak.knps.or.kr/ ,033-636-7700,,설악산국립공원관리사무소,강원도 인제군 북면 ,강원도 인제군 북면 십이선녀탕길 83-1,,2015-01-16,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,인제군,설악산국립공원(백담탐방지원센터),,http://seorak.knps.or.kr,033-636-7700,,설악산국립공원사무소,강원도 인제군 북면 용대리 890,강원도 인제군 북면 백담로 805,,2015-01-16,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,인제군,설악산국립공원(인제군),Seoraksan gukrip park,,,,,강원도 인제군 북면 용대리 (백담지구),,"설악산은 그 품에 한번 안긴 이라면 누구든지 영원히 사랑하지 않고는 못배기게 만드는 산이라고 한다. 그래서 이 산은 ''절세의 미인''에 견주어진다. 죽순처럼 뾰족뾰족한 봉우리가 구름을 뚫고 솟아있는 모습이나 바위를 타고 흘러내리는 비취처럼 맑은 물이 골짜기마다 못을 이루고 폭포를 이룬 모습을 보면 그 말이 그다지 지나치지 않음을 알 수가 있다.공원지역을 최고봉인 대청봉(1,708M)을 중심으로 인제군 쪽을 내설악, 동해를 향한 바깥쪽을 외설악, 그리고 양앙군의 오색일대를 남설악이라 구분한다. 내설악 지역은 백담계곡과 수렴동계곡, 가야동계곡, 용아장성, 백운동계곡, 귀때기골, 십이선녀탕계곡 그리고 장수대 지역의 대승폭포, 옥녀탕 등이 대표적인 경관이며, 외설악은 천불동계곡을 비롯하여 울산바위, 토왕성폭포, 비선대, 금강골, 귀면암, 오련폭포 등이 대표적인 경관이다. 남설악 지역은 옛날부터 오색약수와 온천이 유명하고 주전골 일대의 용소폭포, 십이폭포, 여신폭포 등이 대표적인 경관을 이룬다.설악산의 탐방은 일정에 따라 지역별로 단시간내에 돌아볼 수 있는 관광탐방로도 있고, 대청봉을 목표로 한 본격적인 탐방을 계획할 수도 있다. 더욱이 설악산은 깍아지른 암봉과 암능이 즐비하고 겨울철에는 많은 적설과 함께 빙폭이 형성되어 암벽등반과 빙벽 등반의 최적지로 연중 각급 산악단체에서 수많은 산악인들이 몰려 등반훈련에 열기를 뿜고 있다.또, 설악산국립공원은 맑고 푸른 동해에 접해 있어 산과 바다가 어우러진 천혜의 자연조건으로 주변에 이름난 해수욕장과 스키장, 온천, 명소, 고적 등이 산재해 있고 호텔, 콘도 등 숙박위락 시설이 잘 구비되어 있어 연간 약 3백여만 명의 탐방객이 찾아드는 국내 최고의 종합 관광휴양지이다. 또한 설악산 일대는 세계적으로 희귀한 생물의 분포서식지로서 1982년 유네스코에 의해 한국 유일의 생물권 보존지구로 지정되었다.",2004-03-10,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,인제군,설악산국립공원(장수대분소),,http://seorak.knps.or.kr/ ,033-636-7700,,,강원도 인제군 북면 한계리 산 1-67,강원도 인제군 북면 설악로 4193장수대분소,,2015-01-16,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,인제군,설악산국립공원(한계령탐방지원센터),,http://seorak.knps.or.kr/ ,033-636-7700,,,강원도 인제군 읍 면 동 ,강원도 양양군 서면 설악로 1,,2015-01-16,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,평창군,오대산국립공원(월정사),Odaesan Gukrip Park,http://odae.knps.or.kr,033-332-6417,033-333-5461,,강원도 평창군 진부면 간평리 75-6,,"< 개요 >오대산은 백두대간 중심축에 위치하고 있으며 대간을 중심으로 오대산 지구와 소금강 지구로 나뉘는데 그 성격이 서로 다르다. 비로봉 정상에서 볼 때 동대 너머의 청학산 쪽 소금강 지구는 바위산으로 금강산에 견줄 만한 절경이며, 비로봉에서 평창 쪽으로 내려가는 오대산 지구는 부드러운 흙산으로서 산수가 아름답고 문화유적이 많다. 이들 산봉우리 대부분이 평평하고, 봉우리 사이를 잇는 능선 또한 경사가 완만하고 평탄한 편이다. 이렇듯 오대산은 설악산이 날카로운 기암으로 이루어진 것과 달리 장쾌하면서도 듬직한 토산(土山)이다.오대산은 예로부터 삼신산(금강산, 지리산, 한라산)과 더불어 국내 제일의 명산으로 꼽던 성산으로써, 일찌기 신라 선덕여왕 때의 자장율사 이래로 1,360여년 동안 문수보살이 1만의 권속을 거느리고 늘 설법하고 있는 곳으로 알려져 왔으며, 오대(동대,서대,남대,북대,중대)에는 각각 1만의 보살이 상주하고 있어 문수신앙의 본산으로, 오만보살이 상주하는 불교의 오대성지로 알려져 있다.오대산은 해발 1,563m의 비로봉을 주봉으로 동대산(1,434m), 두로봉(1,422m), 상왕봉(1,491m), 호령봉(1,561m) 등 다섯 봉우리가 병풍처럼 늘어서 있고 동쪽으로 따로 떨어져나온 노인봉(1,338m) 아래로는 천하의 절경 소금강이 자리하고 있다.",2014-04-23,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,횡성군,치악산국립공원(횡성군),Chiaksan gukrip park,,,,,강원도 횡성군 강림면 강림리,,"횡성군 소재의 동치악산(부곡지구)은 주능선이 비교적 완만한 경사를 이루고, 고목이 어우러진 울창한 숲과 깊고 맑은 계곡이 사철 내내 태고의 비경을 자아낸다. 억겁의 세월에 씻겼을 기기묘묘한 바위들이 청정함을 더하는 가운데 강직한 선비의 절개와 전설이 고스란히 묻어나는 유적지들이 산재해 있다. 서울 근교의 국립공원 중 하나인 치악산은 횡성군과 원주시 경계에 위치해 있으며, 비로봉, 향로봉, 남대봉 등 1,000m급 이상의 연이은 고봉들이 빚어내는 뚜렷한 산세들이 계절마다 독특한 아름다움을 자아낸다. 일반적으로 주능선의 급경사와 태고의 비경을 자랑하는 구룡사에서 사다리병창에 이르는 등산코스가 많이 알려져 있는데, 많은 인파를 피해 좀더 한적하고 여유로운 산행을 즐기고 싶다면 동치악산인 고둔치골에서 곧은재로 오르는 코스를 선택하는 것이 좋다. 서쪽에 비해 비교적 완만한 경사인데다 오싹할 만큼 깊은 비경지대인 고둔치와 부곡폭포 등 태고의 절경을 거느리고 있어 운치가 그만이다. 특히 가을철이면 우뚝우뚝 솟은 기암괴석과 하얀 물줄기 사이사이로 형형색색이 단풍빛이 가히 일품이다. 본격적인 산행이 시작되는 치악산 입산통제소에서 잘 정비된 등산로를 따라 길 왼쪽으로 펼쳐진 고둔치 계곡을 지나 산길을 조금 숨이 가쁘다싶게 1시간 남짓 올라가면 곧은재에 도착한다. 곧은재는 원주 국향사 쪽에서 올라오는 사람과 향로봉 쪽으로 가는 사람이 만나는 길목이자 치악산의 힘든 산행이 시작되는 곳이다. 여기서 1시간 50분 정도 더 산을 오르면 횡성군을 비롯해 원주시와 멀리 평창군까지 한눈에 바라다 보이는 비로봉 정상에 도착한다. 하산 코스는 구룡사 방향과 입석대 방향으로 할 수 있다. 동치악산 아래에 맑은 계곡과 울창한 숲을 끼고 자리한 태종대는 스승을 찾는 제자의 마음과 신하라 하더라도 두 임금을 섬길 수 없는 충신의 절개가 서린 곳이다. 그밖에 운곡의 은거지를 비롯해 노고소 등 부곡지구에는 유서 깊은 역사와 전설을 간직한 다양한 볼거리들이 산재해 행락객들의 발길을 재촉한다.",2006-05-08,2023-05-10
