분류1,코스타이틀,코스번호,코스 주제,코스 주제 설명,지역,관광지,코스설명2,주소,전화번호,홈페이지
1코스,대구 속 시간여행,4,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,약령시,"대구약령시는 조선 효종 9년(1658년) 경상감사가 직무하는 감영(監營)의 소재지로 집결하는 약재 중에 좋은 것은 중앙기관으로 상납하고 그 나머지를 일반인들에게 판매하면서 시작되었다. 일제의 탄압에도 불구하고 끈질긴 생명력을 유지하여 350년의 전통을 꿋꿋이 이어나오고 있는 곳이다. 현재 대구약령시의 자취가 남아있는 곳은 대구광역시 중구 남성동 일대이다. 이 곳은 옛 대구성(大邱城) 이 있었던 남성로(南城路)의 약전(藥廛)골목이며, 남성로를 따라 약 650m 도로에 한약방과 한의원, 인삼사, 약업사, 제탕원, 제환·제분소, 한약찻집, 한방 음식점, 한방·전통상품점 등 350여 업소가 즐비하게 들어서 약령시를 형성하고 있다. 매년 5월초에는 대구약령시축제를 개최하여 약령시의 문화적 가치를 전국적으로 홍보함으로써 약령시와 한의약에 대한 국민적 관심과 사랑을 유도하고 있다.",대구광역시 중구 달구벌대로 415길 49,053-253-4729 (대구약령시한의약박물관),
1코스,대구 속 시간여행,5,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,삼성상회,1938년 호암 이병철 회장이 삼성그룹의 모태인 삼성상회를 창업해 처음 사업을 시작했던 곳이다. 대구오페라하우스 앞에는 호암 동상이 자리해 있다.,대구광역시 중구 달성로 100(인교동 43-1),053-661-2195,
1코스,대구 속 시간여행,6,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,김광석다시그리기길,"김광석의 음악 인생이 녹아있는 골목에서 벽화 감상하기  방천시장 뒷골목, 350m 이어진 골목 담벼락에 김광석의 삶과 노래를 주제로 한 벽화가 실감나게 펼쳐진다  드라마 ""하이드 지킬, 나""에 등장했던 장면을 따라 벽화 앞에서 기념사진 남기기, 추억의 뽑기 체험 등을 할 수 있다. 골목 가득 울려 퍼지는 김광석의 음악이 운치를 더한다",대구광역시 중구 달구벌대로 2238,053-218-1053,
1코스,대구 속 시간여행,7,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,서문시장,"대구 최대의 상설시장, 야시장도 인기  조선시대 평양장, 강경장과 함께 전국 3대 장터의 하나로 이름 떨친 전통시장  건해산물상가, 아진상가 등 8개 지구로 구성되고, 약 5,522여 개의 점포가 들어서 있다  주 거래품목인 주단, 포목 등을 비롯해 그릇, 청과, 건어물, 해산물 등 다양한 상품이 거래되는 큰 시장이다",대구광역시 중구 큰장로26길 45,053-256-6341,http://seomun.eneeds.gethompy.com/
2코스,이렇게 좋을 수가,1,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",남구,앞산전망대,대구 시내를 조망할 수 있는 으뜸 명소  앞산케이블카를 타고 오르내리는 쉽고 편안한 여정  S자로 굽어지며 흐르는 낙동강을 시작으로 오른쪽으로 도시를 감싸는 산자락이 겹겹이 펼쳐진다. 노을이 붉게 물든 하늘 아래 하나 둘 불을 밝히는 도심의 불빛이 잔물결 일렁이는 바다처럼 아름답게 펼쳐진다,대구광역시 남구 앞산순환로 454,053-803-5450,
2코스,이렇게 좋을 수가,2,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",수성구,대구스타디움,"2002년 한일월드컵 대회, 2003대구하계유니버시아드대회를 성공적으로 개최하였으며 2011년 세계육상선수권대회를 유치하였다. 또한 주변의 수려한 자연환경과 깨끗한 시설로 주변시민들 뿐만 아니라 타지에서도 많은 관광객이 찾아오는 대구의 새로운 명소로 떠오르고 있다. 체육시설을 개방하여 체력단련 및 휴식공간으로 활용할수 있도록 하고 있으며, 체육 및 문화예술 행사를 유치하여 시민들에게 한층 더 가까이 다가 가도록 노력하고 있다.",대구광역시 수성구 유니버시아드로 180,053-602-2011~8,
2코스,이렇게 좋을 수가,3,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",달성군,녹동서원,"조선으로 귀화한 일본 장수 김충선을 기리는 서원  임진왜란 때 귀화한 모하당 김충선을 추모하기 위해 1789년에 건립  경내에는 녹동사, 향양문, 유적비, 서원 뒤쪽 삼정산에는 김충선의 묘소가 있다  달성한일우호관, 김충선의 귀화 후 활약상을 보여주는 역사관, 체험실 등이 있다",대구광역시 달성군 가창면 우록길 218,053-767-5790,http://www.dskjfriend.kr
2코스,이렇게 좋을 수가,4,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",수성구,대구미술관,"대구미술관(2011.5.26 개관)은 대지면적 71,202㎡ 건축면적 8,808.27㎡, 연면적 21,701.44㎡ 규모로 지하1층, 지상3층의 공간에 1~5전시실, 어미홀, 강당, 교육시설, 정보센터, 관람객을 위한 편의시설로 구성되어 있다. 대구미술관의 상징적 측면을 고려해 만들어진 어미홀(가로 15m, 세로 55m, 높이 20m)은 연1회 아티스트의 창의적인 영감을 실현하는 인큐베이팅 공간으로 활용한다. 특히 3전시장은 실내와 자연풍경과 접점을 이루는 전시장으로 고정된 곳이 아닌 율동하고, 교감하는 장소로 활용하고 있다. 대구미술관은 국내외의 근·현대미술을 소개하는 전시는 물론, 미술 강좌 등 다양한 교육프로그램 운영과 시민의 문화예술욕구에 부응하는 문화공간으로서의 역할을 담당하고 있다.",대구광역시 수성구 미술관로 40,053-790-3000,https://artmuseum.daegu.go.kr/
2코스,이렇게 좋을 수가,5,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",달성군,대구숲,"사계절 내내 친환경 레저 체험을 즐길 수 있는 에코 테마파크  테마정원, 체험공방, 에코어드벤처 등 자연 속 놀거리, 체험거리가 한데 모여 있다  입구 메타세쿼이어숲에서 시작해 홍단풍길, 소나무가 우거진 피톤치드광장까지 길마다 수목이 울창하다  유럽식 자연친화형 레포츠인 에코어드벤처. 중간 중간 농경생활사박물관, 녹차원, 동물사육장, 허브정원, 전망대 등이 있어 지루할 틈이 없다",대구광역시 달성군 가창면 가창로 1003,053-761-7400,http://daeguforest.com/
2코스,이렇게 좋을 수가,6,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",달성군,스파밸리,"주암산 기슭 청정자연에서 물놀이와 온천 즐기기  워터파크, 온천, 숲 속 호텔, 동물원과 식물원이 한 자리에 있는 복합테마파크  맑은 공기를 마시며 한방과 힐링 콘셉트의 온천탕과 파도풀, 바데풀 등을 갖춘 워터파크를 즐길 수 있다  네이처파크에는 구절초공원, 편백숲 등 자연친화적인 산책길이 잘 닦여 있다 교감형 동식물원이 조성되어 있어 산책 중에 토끼나 공작새가 나타나기도 한다",대구광역시 달성군 가창면 가창로 891,1688-8511,http://www.spavalley.co.kr
2코스,이렇게 좋을 수가,7,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",수성구,수성못,"수변 산책과 분수쇼, 야경을 한 자리에서 즐기기  둘레 2km의 수성못을 따라 바늘꽃, 연꽃, 갈대 등이 어우러진 수변 데크 로드와 울창한 왕벚나무, 버드나무 가로수길이 펼쳐진다  밤에는 물 위에 비친 조명이 물감을 풀어 놓은 듯 아름답게 반짝인다. 하루 4회 영상음악분수가 가동되어 볼거리를 더한다",대구광역시 수성구 용학로 35-5,053-761-0645,
3코스,금수강산,1,금수강산,흔희 대구는 여행자라기 보다는 복잡한 대도시 이미지를 갖고있다. 하지만 대구 도심을 조금만 벗어나도 유유자적 여유를 누릴 수 있는여행 지가 얼마든지 있다. 낙동강을 따라 시원하게 뻗은 자전거 길이나 가슴깊이 신선한 공기를 느낄 수 있는 대구수목원은 일상에 지친심신을 달래기에 충분한 곳이다. 그뿐인가 비슬산 암과류는 중생대에 만들어지는 자연의 명작이다. 무엇보다 이 모든 곳이 대구 시내에서그리 멀지않은 달성군에 오밀조밀 모여 있다는 것이 매력이다. 대구의 명소를 한가로이 누려 볼수 있는 대구 금수강산 느림보 코스는여행객의다양한 니즈를 충족시킨다.,달성군,비슬산 참꽃군락지,"1986년 2월 22일 달성군 군립공원으로 지정되었다. 흙산이면서도 산세가 장중하고, 대견봉과 조화봉·관기봉 사이에는 341㏊에 달하는 비슬산 자연휴양림이 있어 삼림욕과 휴식을 즐길 수 있다. 또 봄이면 고지 30만 평에 걸쳐 진달래꽃이 흐드러지게 피어 장관을 연출한다. 매년 4∼5월에 참꽃축제를 열고, 민속놀이·먹을거리 장터 등의 부대 행사를 개최한다. 그 밖에 여름에는 안개 계곡, 가을에는 단풍과 참억새, 겨울에는 얼음 동산이 유명하다. 공원 안에는 유가사(瑜伽寺)·용연사(龍淵寺)·소재사(逍災寺) 등의 고찰과 대견사지(大見寺址)가 있고, 각 사찰에는 많은 문화재가 있다. 달성공원, 달성의 측백수림, 달성 하목정 등 주변 관광지도 둘러볼 수 있다.",대구광역시 달성군 유가면 휴양림길 230 자연휴양림 내 해발 590m,053-614-5481~2,
3코스,금수강산,2,금수강산,흔희 대구는 여행자라기 보다는 복잡한 대도시 이미지를 갖고있다. 하지만 대구 도심을 조금만 벗어나도 유유자적 여유를 누릴 수 있는여행 지가 얼마든지 있다. 낙동강을 따라 시원하게 뻗은 자전거 길이나 가슴깊이 신선한 공기를 느낄 수 있는 대구수목원은 일상에 지친심신을 달래기에 충분한 곳이다. 그뿐인가 비슬산 암과류는 중생대에 만들어지는 자연의 명작이다. 무엇보다 이 모든 곳이 대구 시내에서그리 멀지않은 달성군에 오밀조밀 모여 있다는 것이 매력이다. 대구의 명소를 한가로이 누려 볼수 있는 대구 금수강산 느림보 코스는여행객의다양한 니즈를 충족시킨다.,달성군,디아크,"물과 자연과 문화가 오롯이 담긴 건축예술품  강과 물, 자연을 모티브로 건축한 디아크는 예술적인 외관으로 사랑 받는다  디아크 주변으로 조성된 수변 공간, 자전거길은 주민의 녹색쉼터로 활용  지하 1층 전시관은 4대강문화관으로 꾸며진다. 1층과 2층은 생명의 순환을 테마로 하는 서클영상존이다.",대구광역시 달성군 다사읍 강정본길 57,053-585-0916~7,http://www.riverguide.go.kr/kor/page.do?menuIdx=381
3코스,금수강산,3,금수강산,흔희 대구는 여행자라기 보다는 복잡한 대도시 이미지를 갖고있다. 하지만 대구 도심을 조금만 벗어나도 유유자적 여유를 누릴 수 있는여행 지가 얼마든지 있다. 낙동강을 따라 시원하게 뻗은 자전거 길이나 가슴깊이 신선한 공기를 느낄 수 있는 대구수목원은 일상에 지친심신을 달래기에 충분한 곳이다. 그뿐인가 비슬산 암과류는 중생대에 만들어지는 자연의 명작이다. 무엇보다 이 모든 곳이 대구 시내에서그리 멀지않은 달성군에 오밀조밀 모여 있다는 것이 매력이다. 대구의 명소를 한가로이 누려 볼수 있는 대구 금수강산 느림보 코스는여행객의다양한 니즈를 충족시킨다.,달서구,대구 수목원,"쓰레기 매립장이 청정 수목원으로 재탄생  쓰레기 매립장이었던 장소를 활용해 만든 전국 최초의 도심형 수목원  약 246,503㎡ 면적에 약초원, 야생초화원, 방향식물원, 죽림원 등 23개 테마관이 있다  산림문화전시관에서 쓰레기 매립장 복원, 우리의 나무 문화, 신기한 식물 탐험 등을 주제로 전시가 이뤄진다 ",대구광역시 달서구 화암로 342,053-640-4100,http://www.daegu.go.kr/Forestry
