"script","body__resultCode__@resultCode","body__resultMsg__@resultMsg","body__numOfRows__@numOfRows","body__pageNo__@pageNo","body__totalCount__@totalCount","body__rows__@no","body__rows__courseNm","body__rows__courseCt","body__rows__arNm","body__rows__arCt","body__rows__location","body__rows__phoneNumber"
"","","","","","","11","1일코스B","구봉산전망대-이순신대교-광양제철소-김시식지-배알도 수변공원-섬진강망덕포구-정병욱가옥-광양매화마을(청매실농원)-느랭이골 자연리조트","광양제철소","전라남도 광양시 광양국가산업단지 안에 (주)포스코에서 건설한 대규모 제철소이다. 1982년 연간 270만t의 조강 생산능력을 갖춘 1기 설비 건설에 착공하여 1987년에 준공하였으며, 이후 1999년 5고로가 준공됨으로써 모두 5기의 고로에 연간 1800만t의 조강 생산능력을 보유하고 있다.","전라남도 광양시 폭포사랑길 20-26","061-790-0114"
"","","","","","","12","1일코스B","구봉산전망대-이순신대교-광양제철소-김시식지-배알도 수변공원-섬진강망덕포구-정병욱가옥-광양매화마을(청매실농원)-느랭이골 자연리조트","김시식지","우리나라에서 최초로 김을 양식한 김여익(1606∼1660)을 기리기 위해 세운 건물이다. 김여익은 인조 18년(1640)에 태인도에 들어와 최초로 바다 김을 양식한 사람이다. 기록에 의하면 김여익은 병자호란(1636) 때 의병을 일으켰으나 조정이 중국 청에 항복하자 태인도에 들어와 김 양식을 하며 살았다고 한다. 그가 김 양식법을 고안한 것은 인조 18년(1640)에서 현종 원년(1659) 사이일 것으로 보고 있다. ‘김’의 원래 이름이 ‘해의’였으나 ‘김’으로 고쳐 부른 것은 김 양식을 최초로 창안한 김여익의 성씨를 본 딴 것이라고 전해지기도 한다.","전라남도 광양시 태인동 829-1","061-797-4184"
"","","","","","","13","1일코스B","구봉산전망대-이순신대교-광양제철소-김시식지-배알도 수변공원-섬진강망덕포구-정병욱가옥-광양매화마을(청매실농원)-느랭이골 자연리조트","배알도 수변공원","배알도해변공원은 섬진강과 남해바다가 만나는 태인동에 위치하며 가족단위 관광객들이 야영, 캠핑을 즐기기에 적당한 곳이다. 섬진강의 아름다운 물결과 배알도를 배경으로 해변을 따라 조성된 데크는 낭만적인 산책로이다. 배알도라는 이름은 섬모양이 건너편의 망덕산(광양시 진원면 망덕리 소재)을 향해 절을 하는 형상이라고 해서 붙여졌다고 한다.","전라남도 광양시 태인동 1630-1","061-797-3333"
"","","","","","","14","1일코스B","구봉산전망대-이순신대교-광양제철소-김시식지-배알도 수변공원-섬진강망덕포구-정병욱가옥-광양매화마을(청매실농원)-느랭이골 자연리조트","섬진강 망덕포구","섬진강문화축제 주행사장인 진월면 망덕포구는 550리 섬진강과 남해바다가 만나는 곳으로 호남정맥의 최장맥이면서 명당이 많이 있다는 망덕산, 가족단위 관광객들이 힐링할 수 있는 강변 데크산책로 등 빼어난 자연환경을 갖추고 있다. 또, 윤동주 시인의 작품인 '하늘과 바람과 별과 시'를 보존한 정병욱 가옥이 있으며 섬진강 재첩, 각종 해산물은 물론이고 가을철 최고 별미 가을전어를 제대로 즐길 수 있는 광양망덕전어 인증식당이 즐비한 먹거리타운이 있다.","전라남도 광양시 진월면 망덕리 845-82","061-797-3333"
"","","","","","","15","1일코스B","구봉산전망대-이순신대교-광양제철소-김시식지-배알도 수변공원-섬진강망덕포구-정병욱가옥-광양매화마을(청매실농원)-느랭이골 자연리조트","정병욱가옥","윤동주 시인의 친필유고 「하늘과 바람과 별과 시」가 보관됐던 정병욱(전 서울대학교 국문학과 교수) 거주 가옥은 1925년에 건립된 가옥으로 백영(白影) 정병욱(1922~1982)과 그의 가족에 의해 윤동주 (1917~1945)시인의 유고가 온전히 보존되었던 곳이다.","전라남도 광양시 진월면 망덕길 249","061-797-2419"
"","","","","","","16","1일코스B","구봉산전망대-이순신대교-광양제철소-김시식지-배알도 수변공원-섬진강망덕포구-정병욱가옥-광양매화마을(청매실농원)-느랭이골 자연리조트","광양매화마을(청매실농원)","전남 광양의 청매실농원은 우리나라를 대표하는 매화 여행지이다. 섬진강 변의 쪽비산 자락에 무려 5만여 평이나 되는 대규모의 매화밭이 펼쳐져 있는 곳으로, 3월말 매화가 일제히 꽃망울을 터뜨리면 산자락이 온통 흰빛의 매화로 뒤덮이는 멋진 풍경을 볼 수 있다. 보통 광양 매화마을이라 부르는 곳은 이 청매실농원 주변의 다압리를 이르는 말이다. 다압리 전체에 매화가 많아서 붙은 이름인데 다압리에서 가장 매화가 많고 또 잘 꾸며놓은 곳이 청매실농원이다.","전라남도 광양시 다압면 지막1길 55","061-772-4066"
"","","","","","","17","1일코스B","구봉산전망대-이순신대교-광양제철소-김시식지-배알도 수변공원-섬진강망덕포구-정병욱가옥-광양매화마을(청매실농원)-느랭이골 자연리조트","느랭이골 자연리조트","백운산자락 400m에 위치한 느랭이골 자연리조트는 호남정맥의 산줄기와 1년 내내 마르지 않는 물줄기가 모여 천혜의 자연을 품고 있다. 국내 유명지리학자 및 풍수지리학자도 인정한 보기 드문 명당자리로 웅장하게 늘어선 편백나무 숲과 건강에 좋은 맥반석, 다양한 야생화들이 그려놓은 자연 그대로의 휴식과 치유의 숲으로 이루어진 자연리조트이다.","전남 광양시 다압면 토끼재길 119-32","1588-2704"
"","","","","","","18","1박2일코스 A_1일차","관광안내소-이순신대교-이순신대교-먹거리타운-광양제철소-구봉산전망대","관광안내소","광양시 관광안내소는 광양의 모든 관광자료를 갖추고 있으며, 광양을 찾는 관광객들에게 정확하고 다양한 정보를 제공하고 있다.","전라남도 광양시 중마동 1732-2","061-797-3333"
"","","","","","","19","1박2일코스 A_1일차","관광안내소-이순신대교-이순신대교-먹거리타운-광양제철소-구봉산전망대","이순신대교","이순신대교는 광양과 여수를 잇는 대교로 현수교로서는 국내에서 가장 길며, 세계에서 4번째로 긴 다리이다. 여수국가산단진입도로 개설공사의 3구간에 해당하며 공사구간 중 하이라이트에 해당한다.(2013년 2월 8일개통) 총 연장 길이는 2,260m, 폭은 25.7m(왕복4차로)이며, 주각 간 거리는 1,545m 이다.(주각 간 거리 1,545m는 충무공 이순신의 탄생해인 1545년을 의미한다.) 높이가 270m인 교각은 H자형으로 개방감이 우수하다. 대교 하부로 18,000 TEU급 선박의 통항 가능한 높이를 확보한다.","전라남도 여수시 묘도동 묘도7길 158-8","061-797-3363"
"","","","","","","20","1박2일코스 A_1일차","관광안내소-이순신대교-이순신대교-먹거리타운-광양제철소-구봉산전망대","이순신대교 먹거리타운","이순신대교 먹거리타운은 이순신대교가 개통하면서 관광객을 유치하기 위해 만든 식당가이다. 광양시청이 있는 중마동 중심부에 위치한 곳으로 중마동 버스터미널에 내리면 바로 입구가 있다. 횟집, 고기집, 일식, 중국집 등 다양한 종류의 식당들이 70여개가 있어 식도락가의 입맛에 맞는 음식을 맛볼 수 있는 곳이다.","전라남도 광양시 발섬6길","061-797-3333"
"","","","","","","21","1박2일코스 A_1일차","관광안내소-이순신대교-이순신대교-먹거리타운-광양제철소-구봉산전망대","광양제철소","전라남도 광양시 광양국가산업단지 안에 (주)포스코에서 건설한 대규모 제철소이다. 1982년 연간 270만t의 조강 생산능력을 갖춘 1기 설비 건설에 착공하여 1987년에 준공하였으며, 이후 1999년 5고로가 준공됨으로써 모두 5기의 고로에 연간 1800만t의 조강 생산능력을 보유하고 있다.","전라남도 광양시 폭포사랑길 20-26","061-790-0114"
"","","","","","","22","1박2일코스 A_1일차","관광안내소-이순신대교-이순신대교-먹거리타운-광양제철소-구봉산전망대","구봉산전망대","해발 473m 높이로 호남정맥의 끝인 백운산에서 남하하는 주 능선중의 하나로 광양항은 물론 순천, 여수, 하동, 남해까지 한눈에 바라볼 수 있다. 정상에는 세계적으로 유일한 디지털 메탈아트 봉수대가 설치되어 있으며 이 메탈아트 봉수대는 광양을 상징하는 빛, 철, 꽃을 소재로 작품화하여 개화하는 매화의 생명력을 이미지화하였고, 12지간과 12개 읍면동을 표현하였다. 또한, 구봉산 전망대에서 바라보는 광양만 야경은 백미로 최근 일출 명소로 많은 사람들이 찾는 곳이기도 하다.","전남 광양시 구봉산전망대길 155","061-797-3333"
"","","","","","","23","1박2일코스 A_2일차","광양역사문화관-옥룡사지동백림-도선국사마을-백운산자연휴양림","광양역사문화관","광양역사문화관은 광양의 역사, 문화, 인물, 옛 광양의 모습들이 잘 보존되어 있는 곳이다. 위치는 조선시대 육방들의 업무 처리 장소인 질청이 있었던 곳으로 1942년 8월 25일에 건립되어 구 광양군청으로 사용되었다. 현재는 등록문화재 제444호로 지정되어 있다. 내부에는 국보 제103호 광양 중흥산성 쌍사자석등을 복제한 것과 구석기부터 현대까지의 광양의 역사가 간략한 연표 형식으로 연출되어 있다. 또한 광양의 주요 관광지 사진과 자세한 설명이 있어 관광 정보를 얻을 수도 있다. 광양 출신의 역사적인 인물과 명인, 광양의 주요 특산품 등에 관한 자료도 잘 설명되어 있다.","전라남도 광양시 광양읍 매천로 829","061-797-3337"
"","","","","","","24","1박2일코스 A_2일차","광양역사문화관-옥룡사지동백림-도선국사마을-백운산자연휴양림","옥룡사지동백림","천연기념물 489호(2007.12.17.) 옥룡사지는 백운산(1,222m)의 한 지맥인 백계산(505m) 남쪽에 위치해 있으며, 선각국사 도선이 35년간(864~898년) 머물면서 제자를 양성하고 입적한 곳으로 절을 세울 때 땅의 기운이 약한 것을 보완하기 위하여 동백나무 숲을 조성했다는 유래가 전해지고 있다. 수령은 100년 이상, 높이 6~10m, 근원 둘레 50cm로 3월말경이면 동백꽃이 만개하여 찾는 이들의 눈을 즐겁게 해 주며, 동백나무 숲 사이로 조그맣게 난 숲길은 산책하기에 적합한 곳이다. 현재 7천여 본의 동백나무가 사찰지 주변에 넓은 군락을 형성하고 있는 이곳은 경관적, 학술적으로 보존할 만한 가치가 높아 보호 관리되고 있다.","광양시 옥룡면 백계1길 71","061-797-2418"
"","","","","","","25","1박2일코스 A_2일차","광양역사문화관-옥룡사지동백림-도선국사마을-백운산자연휴양림","도선국사마을","1,000여 종의 식물이 서식하고 있는 백운산 자락에 위치한 농촌전통테마마을 도선국사마을은 옥룡사지를 비롯한 백운산 자연휴양림 등 휴식처가 있으며 물맛이 좋아 원님들의 식수로 사용되었다는 사또 약수터가 있다. 도자기, 천연염색, 공예, 다도, 향토음식(손두부, 수제비), 떡메치기 등 상시 프로그램 외 제다교육, 키위, 자두, 감따기와 고사리, 고구마 캐기 등 계절별 프로그램까지 다양한 체험들로 구성되어 있다.","전남 광양시 옥룡면 상산길31","010-5006-5158"
"","","","","","","26","1박2일코스 A_2일차","광양역사문화관-옥룡사지동백림-도선국사마을-백운산자연휴양림","백운산 자연휴양림","한반도의 남단 중앙부에 우뚝 솟은 해발 1,222미터의 백운산은 봉황, 돼지, 여우의 세 가지 신령한 기운을 간직한 영산으로 백두대간에서 갈라져 나와 호남벌을 힘차게 뻗어 내리는 호남정맥을 완성하고, 섬진강 550리 물길을 갈무리한 명산이다. 또한, 900여종이 넘는 식물이 분포하고 있는 식물 생태의 보고이며 10여 킬로미터에 달하는 4개의 능선이 남과 동으로 흘러내리면서 4개의 깊은 계곡 (성불, 동곡, 어치, 금천)을 만들어 놓고 있다.","광양시 옥룡면 백계로 337","061-797-2655"
"","","","","","","27","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","관광안내소","광양시 관광안내소는 광양의 모든 관광자료를 갖추고 있으며, 광양을 찾는 관광객들에게 정확하고 다양한 정보를 제공하고 있다.","전라남도 광양시 중마동 1732-2","061-797-3333"
"","","","","","","28","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","구봉산전망대","해발 473m 높이로 호남정맥의 끝인 백운산에서 남하하는 주 능선중의 하나로 광양항은 물론 순천, 여수, 하동, 남해까지 한눈에 바라볼 수 있다. 정상에는 세계적으로 유일한 디지털 메탈아트 봉수대가 설치되어 있으며 이 메탈아트 봉수대는 광양을 상징하는 빛, 철, 꽃을 소재로 작품화하여 개화하는 매화의 생명력을 이미지화하였고, 12지간과 12개 읍면동을 표현하였다. 또한, 구봉산 전망대에서 바라보는 광양만 야경은 백미로 최근 일출 명소로 많은 사람들이 찾는 곳이기도 하다.","전남 광양시 구봉산전망대길 155","061-797-3333"
"","","","","","","29","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","이순신대교 먹거리타운","이순신대교 먹거리타운은 이순신대교가 개통하면서 관광객을 유치하기 위해 만든 식당가이다. 광양시청이 있는 중마동 중심부에 위치한 곳으로 중마동 버스터미널에 내리면 바로 입구가 있다. 횟집, 고기집, 일식, 중국집 등 다양한 종류의 식당들이 70여개가 있어 식도락가의 입맛에 맞는 음식을 맛볼 수 있는 곳이다.","전라남도 광양시 발섬6길","061-797-3333"
"","","","","","","30","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","광양제철소","전라남도 광양시 광양국가산업단지 안에 (주)포스코에서 건설한 대규모 제철소이다. 1982년 연간 270만t의 조강 생산능력을 갖춘 1기 설비 건설에 착공하여 1987년에 준공하였으며, 이후 1999년 5고로가 준공됨으로써 모두 5기의 고로에 연간 1800만t의 조강 생산능력을 보유하고 있다.","전라남도 광양시 폭포사랑길 20-26","061-790-0114"
"","","","","","","31","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","배알도 수변공원","배알도해변공원은 섬진강과 남해바다가 만나는 태인동에 위치하며 가족단위 관광객들이 야영, 캠핑을 즐기기에 적당한 곳이다. 섬진강의 아름다운 물결과 배알도를 배경으로 해변을 따라 조성된 데크는 낭만적인 산책로이다. 배알도라는 이름은 섬모양이 건너편의 망덕산(광양시 진원면 망덕리 소재)을 향해 절을 하는 형상이라고 해서 붙여졌다고 한다.","전라남도 광양시 태인동 1630-1","061-797-3333"
"","","","","","","32","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","섬진강 망덕포구","섬진강문화축제 주행사장인 진월면 망덕포구는 550리 섬진강과 남해바다가 만나는 곳으로 호남정맥의 최장맥이면서 명당이 많이 있다는 망덕산, 가족단위 관광객들이 힐링할 수 있는 강변 데크산책로 등 빼어난 자연환경을 갖추고 있다. 또, 윤동주 시인의 작품인 '하늘과 바람과 별과 시'를 보존한 정병욱 가옥이 있으며 섬진강 재첩, 각종 해산물은 물론이고 가을철 최고 별미 가을전어를 제대로 즐길 수 있는 광양망덕전어 인증식당이 즐비한 먹거리타운이 있다.","전라남도 광양시 진월면 망덕리 845-82","061-797-3333"
"","","","","","","33","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","청매실농원","전남 광양의 청매실농원은 우리나라를 대표하는 매화 여행지이다. 섬진강 변의 쪽비산 자락에 무려 5만여 평이나 되는 대규모의 매화밭이 펼쳐져 있는 곳으로, 3월말 매화가 일제히 꽃망울을 터뜨리면 산자락이 온통 흰빛의 매화로 뒤덮이는 멋진 풍경을 볼 수 있다. 보통 광양 매화마을이라 부르는 곳은 이 청매실농원 주변의 다압리를 이르는 말이다. 다압리 전체에 매화가 많아서 붙은 이름인데 다압리에서 가장 매화가 많고 또 잘 꾸며놓은 곳이 청매실농원이다.","전라남도 광양시 다압면 지막1길 55","061-772-4066"
"","","","","","","34","1박2일코스 B_1일차","관광안내소-구봉산전망대-이순신대교먹거리타운-광양제철소-배알도 수변공원-망덕포구-청매실농원-느랭이골자연리조트","느랭이골 자연리조트","백운산자락 400m에 위치한 느랭이골 자연리조트는 호남정맥의 산줄기와 1년 내내 마르지 않는 물줄기가 모여 천혜의 자연을 품고 있다. 국내 유명지리학자 및 풍수지리학자도 인정한 보기 드문 명당자리로 웅장하게 늘어선 편백나무 숲과 건강에 좋은 맥반석, 다양한 야생화들이 그려놓은 자연 그대로의 휴식과 치유의 숲으로 이루어진 자연리조트이다.","전남 광양시 다압면 토끼재길 119-32","1588-2704"
"","","","","","","35","1박2일코스 B_2일차","수어천-불암산성-광양역사문화관-옥룡사지동백림-백운산자연휴양림","수어천","수어천은 붕어의 개체수가 엄청나게 많은 곳으로 붕어의 곳간으로 여겨질 정도이다. 하류에는 바닷물이고 상류에는 수어천 댐이다. 수어천 댐이서 방류한 붕어들이 하류 바다로 내려가지 못하고 수어천에 머물게 되면서 붕어를 집약 해 놓은 것처럼 끝없이 대물 붕어가 낚이고 있다. 진상교와 창원교 사이의 구간에서 가장 많은 붕어가 낚이고 있고, 물이 맑은 것이 특징이다.","전라남도 광양시 진상면 섬거리 146-1",""
"","","","","","","36","1박2일코스 B_2일차","수어천-불암산성-광양역사문화관-옥룡사지동백림-백운산자연휴양림","불암산성","불암산성은 진상면 비평리 불암산 남서쪽 줄기에 위치한 해발 231.5m의 봉우리를 테를 두르듯 둘러 쌓은 산성으로 동.서축이 긴 사다리꼴 모양을 하고 있다. 백제시대에 만들어진 산성으로 옛날 이 지역 비촌현을 방어했던 곳으로 추정되며 임진왜란과 구한말 의병 활동에도 활용된 것으로 전해온다.","전라남도 광양시 진상면 비평리 산 38번지","061-797-3333"
"","","","","","","37","1박2일코스 B_2일차","수어천-불암산성-광양역사문화관-옥룡사지동백림-백운산자연휴양림","광양역사문화관","광양역사문화관은 광양의 역사, 문화, 인물, 옛 광양의 모습들이 잘 보존되어 있는 곳이다. 위치는 조선시대 육방들의 업무 처리 장소인 질청이 있었던 곳으로 1942년 8월 25일에 건립되어 구 광양군청으로 사용되었다. 현재는 등록문화재 제444호로 지정되어 있다. 내부에는 국보 제103호 광양 중흥산성 쌍사자석등을 복제한 것과 구석기부터 현대까지의 광양의 역사가 간략한 연표 형식으로 연출되어 있다. 또한 광양의 주요 관광지 사진과 자세한 설명이 있어 관광 정보를 얻을 수도 있다. 광양 출신의 역사적인 인물과 명인, 광양의 주요 특산품 등에 관한 자료도 잘 설명되어 있다.","전라남도 광양시 광양읍 매천로 829","061-797-3337"
"","","","","","","38","1박2일코스 B_2일차","수어천-불암산성-광양역사문화관-옥룡사지동백림-백운산자연휴양림","옥룡사지동백림","천연기념물 489호(2007.12.17.) 옥룡사지는 백운산(1,222m)의 한 지맥인 백계산(505m) 남쪽에 위치해 있으며, 선각국사 도선이 35년간(864~898년) 머물면서 제자를 양성하고 입적한 곳으로 절을 세울 때 땅의 기운이 약한 것을 보완하기 위하여 동백나무 숲을 조성했다는 유래가 전해지고 있다. 수령은 100년 이상, 높이 6~10m, 근원 둘레 50cm로 3월말경이면 동백꽃이 만개하여 찾는 이들의 눈을 즐겁게 해 주며, 동백나무 숲 사이로 조그맣게 난 숲길은 산책하기에 적합한 곳이다. 현재 7천여 본의 동백나무가 사찰지 주변에 넓은 군락을 형성하고 있는 이곳은 경관적, 학술적으로 보존할 만한 가치가 높아 보호 관리되고 있다.","광양시 옥룡면 백계1길 71","061-797-2418"
"","","","","","","39","1박2일코스 B_2일차","수어천-불암산성-광양역사문화관-옥룡사지동백림-백운산자연휴양림","백운산 자연휴양림","한반도의 남단 중앙부에 우뚝 솟은 해발 1,222미터의 백운산은 봉황, 돼지, 여우의 세 가지 신령한 기운을 간직한 영산으로 백두대간에서 갈라져 나와 호남벌을 힘차게 뻗어 내리는 호남정맥을 완성하고, 섬진강 550리 물길을 갈무리한 명산이다. 또한, 900여종이 넘는 식물이 분포하고 있는 식물 생태의 보고이며 10여 킬로미터에 달하는 4개의 능선이 남과 동으로 흘러내리면서 4개의 깊은 계곡 (성불, 동곡, 어치, 금천)을 만들어 놓고 있다.","광양시 옥룡면 백계로 337","061-797-2655"
