"관광명소명","위치","소개","전화번호","홈페이지","데이터기준일자"
"칠곡양떼목장","지천면 창평로 209-42","한우와 면양, 유산양 등을 사육하고 있으며, 동물의 보금자리인 양사에서는 양떼 먹이주기체험도 가능하다.","054-972-8833","www.79yangtte.kr","2016-06-10"
"흙내음도예마을","지천면 지천로 1051","정겨운 시골의 향기를 맡으며 도예 체험과 함께 도자기전시장을 둘러볼 수 있는 곳이다.","054-972-5085","www.heukhyang.co.kr","2016-06-10"
"다부동전적기념관","가산면 호국로 1486","6.25전쟁시 절체절명의 순간에서 북진의 계기를 마련한 다부동 전투의 승리는 기념한 곳이다.전쟁과 관련된 자료가 전시되어 당시의 참상과 긴박감을 느낄 수 있다.","054-973-6313","www.dabu.or.kr","2016-06-10"
"칠곡나눔숲체원","석적읍 유학로 532","사회취약계층을 위한 국내 첫 산림복지형 숲체험교육시설이다. 식당, 세미나실, 대강당, 단체숙소 등 편의시설과 숲속교실, 숲체험로 등 숲체험교육장을 갖추어 남녀노소 모두가 건전한 여가문화를 즐길 수 있다.","054-977-8772","www.nanumsoop.or.kr","2016-06-10"
"가산산성","동명면 남원리 638","팔공산 전경이 내려다보이는 가산산성은 임진왜란(1952)과 병자호란(1636)을 겪은 후 쌓은 3중 방어용 산성이다. 가산 해발 600m에서 901m에 이르는 계곡을 이용하여 쌓은 석축 산성으로 내성, 중성, 외성으로 이루어져 있다. 현재 건물터만 남아있으나 대부분의 성벽 및 암문은 원형을 남기고 있다.","054-979-6453","www.gbpalgong.go.kr","2016-06-10"
"송림사","동명면 송림길 73","동명면 구덕리 가산 남쪽 기슭에 있으며, 동화사의 말사이다. 1092년 대각국사 의천이 중창하였고, 몽골의 침입으로 폐허화하였다. 1597년과 1858년 두 차례 중창하였으며, 현존 당우로는 대웅전과 명부전 및 요사채가 있다. 대웅전 앞에는 신라시대의 전형적인 벽돌탑인 송림사 오층전탑(보물 189)이 있다. 1959년 이 탑을 해체 수리할 때 순금제 불감 및 옥과 금으로 된 보리수 형태의 공예품과 불사리 4과가 나왔다. ","054-976-8116","www.songrimsa.org","2016-06-10"
"한티순교성지","동명면 한티로1길 69","천주교 박해 때 신자들의 최종 피난처로 종교적 역사가 깊은 곳이다. 탄압받던 천주교 신자들이 화전을 일구며 살았던 모습을 엿볼수 있으며, 순교자들의 묘들을 돌아보며 인생에 대해 생각할 수 있는 곳이다.","054-975-5151","www.hanti.or.kr","2016-06-10"
"신유장군유적","약목면 신유로 172","조선 효종 때의 무장 신유(1619~1680)장군을 모신 사당이다. 신유장군이 전투를 기록하여 남긴 북정일기는 17세기 우리나라와 러시아 사이의 최초 접촉에 대한 현지 사령관의 기록이라는 점에서 세계적인 사료로 인정받고 있다.","054-972-6452","www.chilgok.go.kr","2016-06-10"
"관호산성둘레길","약목면 관호리 산17번지 일원","관호산성 둘레길은 남녀노소누구나 호젓한 풍경을 벗 삼아 걷기에 좋은 곳이다.삼국시대 신라가 쌓은 토성으로 동쪽과 남쪽의 절벽 아래에는 낙동강이 흐르고 자연지형이 잘 보존되어 있다.호국의 다리 코스와 둘레길의 메인코스인 관호산성코스가 있다.","054-979-6683","www.chilgok.go.kr","2016-06-10"
"칠곡노석리마애불상군","기산면 노석리 산43-2","보물 제655호로 통일신라 초기에 거대한 바위 면에 얕게 돋을 새김한 마애불상이다. 바위면의 중심에 본존불과 좌우 협시보살 등 삼존불좌상이 배치된 특이한 구도를 보여준다.",,"www.chilgok.go.kr","2016-06-10"
"금오동천","북삼읍 숭오리 ","계곡과 기암괴석 사이로 흐르는 시원한 물소리와 금오산도립공원 등산을 즐길수 있는 곳이다.산세가 수려하고 사면이 가파르며 여름에는 시원하고 가을에는 단풍의 명소이다.",,"www.chilgok.go.kr","2016-06-10"
